file_path,file_name,label_name,label
fan/id_00/normal/00000441.wav,00000441.wav,normal,0
fan/id_00/normal/00000989.wav,00000989.wav,normal,0
fan/id_00/abnormal/00000074.wav,00000074.wav,abnormal,1
fan/id_00/abnormal/00000165.wav,00000165.wav,abnormal,1
fan/id_00/normal/00000705.wav,00000705.wav,normal,0
fan/id_00/normal/00000262.wav,00000262.wav,normal,0
fan/id_00/normal/00000456.wav,00000456.wav,normal,0
fan/id_00/abnormal/00000302.wav,00000302.wav,abnormal,1
fan/id_00/abnormal/00000180.wav,00000180.wav,abnormal,1
fan/id_00/abnormal/00000341.wav,00000341.wav,abnormal,1
fan/id_00/normal/00000941.wav,00000941.wav,normal,0
fan/id_00/normal/00000113.wav,00000113.wav,normal,0
fan/id_00/normal/00000398.wav,00000398.wav,normal,0
fan/id_00/normal/00000377.wav,00000377.wav,normal,0
fan/id_00/abnormal/00000143.wav,00000143.wav,abnormal,1
fan/id_00/normal/00000495.wav,00000495.wav,normal,0
fan/id_00/abnormal/00000118.wav,00000118.wav,abnormal,1
fan/id_00/normal/00000618.wav,00000618.wav,normal,0
fan/id_00/abnormal/00000254.wav,00000254.wav,abnormal,1
fan/id_00/abnormal/00000044.wav,00000044.wav,abnormal,1
fan/id_00/abnormal/00000215.wav,00000215.wav,abnormal,1
fan/id_00/normal/00000048.wav,00000048.wav,normal,0
fan/id_00/abnormal/00000405.wav,00000405.wav,abnormal,1
fan/id_00/normal/00000480.wav,00000480.wav,normal,0
fan/id_00/normal/00000016.wav,00000016.wav,normal,0
fan/id_00/normal/00000479.wav,00000479.wav,normal,0
fan/id_00/normal/00000668.wav,00000668.wav,normal,0
fan/id_00/normal/00000026.wav,00000026.wav,normal,0
fan/id_00/abnormal/00000262.wav,00000262.wav,abnormal,1
fan/id_00/normal/00000979.wav,00000979.wav,normal,0
fan/id_00/abnormal/00000081.wav,00000081.wav,abnormal,1
fan/id_00/normal/00000976.wav,00000976.wav,normal,0
fan/id_00/normal/00000457.wav,00000457.wav,normal,0
fan/id_00/normal/00000244.wav,00000244.wav,normal,0
fan/id_00/abnormal/00000355.wav,00000355.wav,abnormal,1
fan/id_00/normal/00000500.wav,00000500.wav,normal,0
fan/id_00/normal/00000245.wav,00000245.wav,normal,0
fan/id_00/normal/00000290.wav,00000290.wav,normal,0
fan/id_00/abnormal/00000189.wav,00000189.wav,abnormal,1
fan/id_00/abnormal/00000195.wav,00000195.wav,abnormal,1
fan/id_00/normal/00000213.wav,00000213.wav,normal,0
fan/id_00/normal/00000932.wav,00000932.wav,normal,0
fan/id_00/normal/00000833.wav,00000833.wav,normal,0
fan/id_00/normal/00000915.wav,00000915.wav,normal,0
fan/id_00/normal/00000452.wav,00000452.wav,normal,0
fan/id_00/normal/00000446.wav,00000446.wav,normal,0
fan/id_00/normal/00000718.wav,00000718.wav,normal,0
fan/id_00/normal/00001006.wav,00001006.wav,normal,0
fan/id_00/normal/00000190.wav,00000190.wav,normal,0
